"ENTITY_ID","GSM_TYPE","GPRS_TYPE","SENT_BYTES","RECEIVED_BYTES","NAME","LATITUDE","LONGITUDE","POSTAL_CODE","DBM"
"878074","UNKNOWN","STOP","680","664","UNKNOWN","40,464","-3,6889361111","28036","-100"
"883739","UNKNOWN","STOP","0","0","UNKNOWN","37,190275","-5,780625","41710","-84"
"932436","UNKNOWN","START","","","GPRS","38,89385","-6,995175","6006","-54"
"968088","UNKNOWN","START","","","GPRS","40,4235694444","-3,6764611111","28009","-81"
"1008339","UNKNOWN","START","","","GPRS","41,6256138889","0,6389861111","25005","-107"
"1206508","UNKNOWN","STOP","12574","19088","UNKNOWN","43,2998611111","-2,8725611111","48170","-108"
"1208180","UNKNOWN","STOP","11926","17772","UNKNOWN","43,2998861111","-2,8663","48170","-58"
"1110086","UNKNOWN","STOP","296","116","UNKNOWN","41,6502","-0,986375","50197","-58"
"1046224","UNKNOWN","STOP","34227924","33614513","UNKNOWN","40,3527194444","-3,7014944444","28041","-94"
"1025771","UNKNOWN","STOP","12698","19076","UNKNOWN","43,2998861111","-2,8663","48170","-67"
"1026757","UNKNOWN","STOP","40006","66992","UNKNOWN","39,3483194444","-1,1698666667","2214","-61"
"1112516","UNKNOWN","STOP","480","752","UNKNOWN","41,5505861111","0,5458888889","25180","-82"
"1045950","UNKNOWN","STOP","1766193","2641408","UNKNOWN","38,2751277778","-0,7213944444","3205","-68"
"1046422","UNKNOWN","STOP","730594","1329704","UNKNOWN","38,709","-0,4536611111","3803","-62"
"1047582","UNKNOWN","STOP","146998","208336","UNKNOWN","38,1320527778","-0,8006277778","3205","-69"
"1141956","UNKNOWN","START","","","GPRS","42,6742","-8,152775","36512","-105"
"1228092","UNKNOWN","STOP","512","599","UNKNOWN","43,35415","-8,4083138889","15007","-54"
"1164859","UNKNOWN","STOP","37","622","UNKNOWN","38,343025","-6,3200888889","6240","-98"
"1165930","UNKNOWN","STOP","4766","1713","UNKNOWN","40,4444888889","-3,6557","28027","-67"
"781291","UNKNOWN","STOP","1581","1047","UNKNOWN","40,463625","-3,692325","28020","-54"
"790696","UNKNOWN","STOP","0","0","UNKNOWN","40,941475","-4,1109638889","40005","-81"
"791885","UNKNOWN","STOP","0","0","UNKNOWN","36,4636388889","-5,9309111111","11170","-98"
"855426","UNKNOWN","STOP","3263","1295","UNKNOWN","41,8938944444","-4,4817388889","34200","-85"
"792279","UNKNOWN","START","","","GPRS","40,3455888889","-3,7102111111","28021","-106"
"803580","UNKNOWN","STOP","680","664","UNKNOWN","40,4856","-3,390725","28802","-88"
"802805","UNKNOWN","START","","","GPRS","40,404775","-3,656375","28030","-96"
"805007","UNKNOWN","STOP","1411","1002","UNKNOWN","41,8852","-1,3124388889","50660","-100"
"805905","UNKNOWN","START","","","GPRS","39,395125","-0,398725","46470","-64"
"825758","UNKNOWN","STOP","14230","15034","UNKNOWN","40,4120361111","-3,7088388889","28005","-100"
