"ENTITY_ID","LATITUDE","LONGITUDE","POSTAL_CODE"
"822448","39,54695","-0,3052138889","46550"
"855021","42,6386722222","-5,6506194444","24196"
"803281","40,4738388889","-3,369425","28803"
"699565","40,3234","-3,7680861111","28912"
"825850","36,6971111111","-4,454575","29004"
"795283","42,1014222222","1,8486388889","8600"
"996777","43,3016472222","-1,9602944444","20014"
"761568","41,3558638889","2,1154388889","8907"
"762214","41,3599","2,10805","8901"
"802504","40,4574361111","-3,726475","28040"
"777106","36,510275","-6,2783361111","11010"
"777267","40,2503","-3,985275","28607"
"777284","37,2701861111","-5,9176361111","41702"
"777302","40,4345861111","-3,553675","28823"
"778313","42,8764638889","-8,544025","15701"
"709172","40,4154138889","-3,700675","28014"
"824791","41,4160611111","2,13575","8023"
"709393","41,5326611111","2,0351638889","8228"
"778328","37,7718","-3,785975","23003"
"793194","38,7062388889","0,1571","3724"
"833673","39,5463888889","2,504025","7180"
"787411","39,157175","-0,4309","46600"
"813461","42,5985861111","-8,7636861111","36600"
"710164","41,648375","-0,901575","50010"
"825530","39,5013","-1,1047111111","46340"
"805292","42,3696861111","-3,719175","9001"
"803313","41,0011861111","0,933375","43892"
"801724","37,8812638889","-4,7820888889","14003"
"787597","37,24065","-5,1070611111","41640"
"823041","40,442075","-3,8077","28223"
"786691","38,8740888889","-6,9736861111","6004"
"800112","38,91035","1,435525","7800"
"783545","40,4388388889","-3,699975","28003"
"825588","38,9770888889","-5,7998","6700"
"792689","38,8818388889","-7,0203138889","6006"
"855302","42,771325","-4,8601861111","34880"
"879836","38,0147361111","-3,3767611111","23400"
"967840","36,7246916667","-4,421","29012"
"968084","40,45845","-3,6983138889","28020"
"968156","41,3956361111","2,16375","8037"
"967982","41,402425","2,157575","8012"
"1008909","40,4439527778","-3,6570166667","28027"
"1009189","41,3777638889","2,1592861111","8015"
"1112556","41,2641611111","1,75495","8810"
"1112604","41,3790611111","2,076975","8960"
"1026083","41,65365","-4,7407361111","47009"
"1110078","41,6416638889","-0,9798388889","50197"
"1070636","37,6058888889","-0,9868638889","30203"
"1110466","41,440625","2,1792","8016"
"1126471","37,3148777778","-6,1097222222","41111"
"821637","40,42235","-3,6816638889","28009"
"802351","43,5273138889","-5,67275","33208"
"811387","43,3389","-1,796425","20302"
"787964","40,4752138889","-3,40605","28806"
"837903","37,3128888889","-5,9827361111","41703"
"807504","36,5070888889","-4,8907138889","29602"
"816195","40,557875","-3,6172","28703"
"821457","37,9892361111","-1,1163361111","30006"
"796999","37,838225","-1,4317111111","30840"
"807351","40,207625","0,205775","12596"
"881062","43,4775861111","-8,2513611111","15401"
"881915","28,0004","-15,391475","35214"
"882093","40,4811388889","-3,3634888889","28801"
"885449","40,246975","0,2840861111","12579"
"807823","37,889475","-4,7946111111","14005"
"819207","42,176225","2,477275","17800"
